All,Összes
"Select values from each attribute to include in this product. Each unique combination of values creates a unique product SKU.","Válassza ki azon terméktulajdonságok értékeit melyeket tartalmazzon ez a termék. Minden egyedi érték kombináció egy egyedi termék cikkszámot generál."
"Sort Variations","Rendezés variációk"
Options,Opciók
"Deselect All","Összes kijelölés törlése"
"Remove Attribute","Jellemző eltávolítása"
"Save Option","Lehetőség mentése"
"Remove Option","Lehetőség eltávolítása"
"Create New Value","Új érték létrehozása"
"Step 3: Bulk Images, Price and Quantity","3. lépés: Tömeges képfeltöltés, ár és mennyiség"
"Based on your selections %1 new products will be created. Use this step to customize images and price for your new products.","A kiválasztásai alapján %1 új termék lesz létrehozva. Használja ezt a lépést, hogy meghatározza a képeket és az árakat ezekhez az új termékekhez."
"Apply single set of images to all SKUs","Minden cikkszámhoz ugyan azok a képek alkalmazása"
"Apply unique images by attribute to each SKU","Egyedi képek alkalmazása minden egyes cikkszámhoz"
"Skip image uploading at this time","Kép feltöltésének átugrása"
"Remove image","Kép etávolítása"
"Select attribute","Válasszon jellemzőt"
Select,Válasszon
"Apply single price to all SKUs","Egységes ár minden cikkszámhoz"
"Apply unique prices by attribute to each SKU","Egyedi árak alkalmazása minden egyes cikkszámhoz"
"Skip price at this time","Ár megadásának átugrása"
"Apply single quantity to each SKUs","Egy mennyiség alkalmazása minden cikkszámhoz"
"Apply unique quantity by attribute to each SKU","Egyedi mennyiségek alkalmazása minden egyes cikkszámhoz"
"Skip quantity at this time","Mennyiség megadásának átugrása"
"Step 1: Select Attributes","1. lépés: Válasszon jellemzőket"
"Selected Attributes:","Kiválasztott jellemzők:"
"Step 4: Summary","4. lépés: Összegzés"
"Configurable products allow customers to choose options (Ex: shirt color).
            You need to create a simple product for each configuration (Ex: a product for each color).","A beállítható termékek lehetővé teszik, hogy a vásárló különböző lehetőségek közül válasszon (pl. póló színe). Ehhez szükség van annyi egyszerű termékre, ahány változat elérhető lesz (pl. minden színhez egy termék)."
"Edit Configurations","Beállítások szerkesztése"
"Upload Image","Kép feltöltése"
"Upload image","Kép feltöltés"
"No Image","Nincs kép"
"Choose a different Product","Válasszon egy másik terméket"
"Create Product Configurations","Termék beállítások létrehozása"
"Buy %1 for %2 each and","Vegyen %1 -t darabját %2 -ért és"
save,mentés
"New Product Review","Új termék értékelés"
"Here are the products you're about to create.","Itt vannak a termékek, amiket létrehozott."
"You created these products for this configuration.","Ezeket a termékeket hozta létre a beállításhoz."
"Disassociated Products","Már nem hozzárendelt termékek"
"These products are not associated.","Ezek a termékek nincsenek hozzárendelve."
"Disable Product","Termék letiltása"
"Enable Product","Termék engedélyezése"
"An attribute has been removed. This attribute will no longer appear in your configurations.","Egy jellemző eltávolítva. Ez a jellemző többé nem jelenik meg a beállításokban."
"Select options for all attributes or remove unused attributes.","Válasszon lehetőségeket minden jellemzőhöz, vagy távolítsa el a használaton kívüli jellemzőket."
"Choose this option to delete and replace extension data for all past configurations.","Válassza ezt a lehetőséget az összes korábbi konfiguráció kiterjesztéseinek törléséhez és kicseréléséhez."
"Please select attribute for {section} section.","Válasszon jellemzőt a {section} részhez."
"Please fill in the values for {section} section.","Kérjük, töltse ki az értékeket a {section} résznél."
"Please fill-in correct values.","Kérjük, töltse ki a megfelelő értékekkel."
"Please select image(s) for your attribute.","Válasszon képe(ke)t a jellemzőhöz."
"Please choose image(s).","Válasszon képe(ke)t."
"When you remove or add an attribute, we automatically update all configurations and you will need to recreate current configurations manually.","Ha eltávolít vagy hozzáad egy attribútumot, automatikusan frissítjük az összes konfigurációt, eztán kézzel kell újra létrehoznia az aktuális konfigurációkat."
"Please select attribute(s).","Válasszon jellemző(ke)t."
"Generate Products","Termékek generálása"
"Configurable Product Image","Beállítható termék képe"
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Köszönjük, hogy kapcsolatba léptél velünk! Hamarosan válaszolni fogunk."
"Write Us","Írj nekünk"
"Jot us a note and we’ll get back to you as quickly as possible.","Leírta nekünk megjegyzését, válaszunkkal a lehető leggyorsabban felkeressük Önt."
"What’s on your mind?","Mi jár a fejedben?"
"Contact Form","Kapcsolatfelvételi űrlap"
"Contacts Section","Névjegyek szekció"
"Contact Us","Lépj velünk kapcsolatba"
"Enable Contact Us","Lépj velünk kapcsolatba engedélyezése"
"Email Options","Email beállítások"
"Send Emails To","E-mailek küldése"
"Email Sender","Email feladója"
"Email Template","Email sablon"
"Invalid domain name: %1","Érvénytelen domain név: %1"
"Invalid cookie lifetime: %1","Érvénytelen süti élettartam: %1"
"Invalid cookie path","Érvénytelen süti útvonal"
"We use cookies to make your experience better.","Sütiket használunk a jobb felhasználói élmény érdekében."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Hogy megfeleljünk az új elektronikus hírközlési adatvédelmi irányelvnek, engedélyt kell kérnünk a sütik használatához."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">További tudnivalók</a>."
"Allow Cookies","Sütik engedélyezése"
"Default Cookie Settings","Alapértelmezett sütibeállítások"
"Cookie Lifetime","Süti élettartama"
"Cookie Path","Süti útvonala"
"Cookie Domain","Süti domain neve"
"Use HTTP Only","Csak HTTP használata"
"Cookie Restriction Mode","Süti korlátozási mód"
Daily,Napi
Weekly,Heti
Monthly,Havi
"Invalid cron expression: %1","Érvénytelen cron kifejezés: %1"
"Invalid cron expression, expecting numeric modulus: %1","Érvénytelen cron kifejezés, numerikus tényező szükséges: %1"
"Cron (Scheduled Tasks)","Cron (ütemezett feladatok)"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set. All the times are in minutes.","Hogy a cron futtatásakor megfelelő URL-ek generálódjanak győződjön meg arról, hogy a Web > Biztonságos és Nem biztonságos alap URL-címek explicit módon be lettek állítva. Minden időt percben kell érteni."
"Generate Schedules Every","Ütemezések létrehozása minden"
"Schedule Ahead for","Előre ütemezés"
"Missed if Not Run Within","Kihagyva ha nem belül fut"
"History Cleanup Every","Minden napló kiürítése"
"Success History Lifetime","Sikeres-napló élettartama"
"Failure History Lifetime","Sikertelen-napló élettartama"
"Use Separate Process","Külön eljárások használata"
"Save Currency Rates","Valutaárfolyamok mentése"
"Manage Currency Rates","Árfolyamok kezelése"
"Import Service","Import szolgáltatás"
"Save Currency Symbols","Pénznemek szimbólumainak mentése"
"Currency Symbols","Pénznemek szimbólumai"
"Use Standard","Szabványos használata"
"Click ""Save"" to apply the rates we found.","Kattintson a ""Mentés"" gombra a talált árfolyamok alkalmatásához."
"Currency Rates","Pénznem árfolyamok"
"Please correct the input data for ""%1 => %2"" rate.","Javítsa az ""%1 => %2"" árfolyam adatokat."
"All valid rates have been saved.","Minden érvényes árfolyam elmentve."
"You applied the custom currency symbols.","Egyéni pénznem szimbólumok lettek alkalmazva."
"You must first configure currency options before being able to see currency rates.","Be kell állítani a pénznem lehetőségeket mielőtt láthatóvá válnak a valuta árfolyamok."
"Old rate:","Régi árfolyam:"
"The current module XML block name is undefined.","A jelenlegi modul XML blokknév nem definiált."
"The current module form model pathname is undefined.","A jelenlegi modul űrlap modell elérési útvonala nem definiált."
"Use helper with defined EAV entity.","Használja a segítőt a megadott EAV entitással."
"Default EAV Form","Alapértelmezett EAV űrlap"
"Please correct the values for minimum and maximum text length validation rules.","Kérem javítsa a szöveg ellenőrzési szabály minimum és maximum szöveg hosszát."
"Please correct the values for minimum and maximum date validation rules.","Javítsa a minimum és maximum dátum ellenőrzési szabályokat."
"Text Field",Szövegmező
"Text Area","Szöveg terület"
"Multiple Line","Több sor"
Yes/No,Igen/Nem
"File (attachment)","Fájl (csatolmány)"
"Image File",Képfájl
Alphanumeric,Alfanumerikus
"Numeric Only","Csak numerikus"
"Alpha Only","Csak Alfa"
"Strip HTML Tags","HTML tagek eltávolítása"
"Escape HTML Entities","Escape HTML Entitás"
"Normalize Date","Dátum normalizálás"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","A jellemző kód érvénytelen. Kérjük, használjon csak betűket (a-z), számokat (0-9) vagy aláhúzásjelet (_) ebben a mezőben. Az első karakternek betűnek kell lennie."
"You have not set a default shipping address.","Nem állított be alapértelmezett szállítási címet."
"You have not set a default billing address.","Nem állított be alapértelmezett számlázási címet."
"Address Book",Címjegyzék
"Edit Address","Cím szerkesztése"
"Add New Address","Új cím hozzáadása"
region,régió
"Save Customer","Vásárló mentése"
"Reset Password","Jelszó visszaállítása"
"Are you sure you want to revoke the customer's tokens?","Biztos benne, hogy a vissza akarja vonni a vevő tokenjeit?"
"Force Sign-In","Bejelentkezés kényszerítése"
"New Customer","Új vásárló"
"Shopping Cart from %1","Kosár %1"
Newsletter,Hírlevél
"Newsletter Information","Hírlevél információk"
"Subscribed to Newsletter","Feliratkozott a hírlevélre"
"Last Date Subscribed","Utolsó feliratkozás dátuma"
"Last Date Unsubscribed","Utolsó leiratkozás dátuma"
"No Newsletter Found","Nem található hírlevél"
"Start date","Kezdő dátum"
"Receive Date","Fogadási dátum"
Subject,Tárgy
Sent,Elküldve
"Not Sent","Nincs elküldve"
Sending,Küldés
Paused,Szüneteltetve
Unknown,Ismeretlen
"Bill-to Name","Számlázási név"
"Ship-to Name","Szállítási név"
"Purchase Point","Vásárlási pont"
"There are no items in customer's shopping cart.","A vevő bevásárlókosara üres."
Confirmed,Megerősítve
"Confirmation Required","Megerősítés szükséges"
"Confirmation Not Required","Megerősítés nem szükséges"
Indeterminate,Meghatározatlan
"The customer does not have default billing address.","Az ügyfél nem rendelkezik alapértelmezett számlázási címmel."
Offline,"Nem elérhető"
Online,Elérhető
Never,Soha
Unlocked,Feloldva
Locked,Zárolt
"Deleted Stores","Törölt üzletek"
"Add Locale","Hely hozzáadása"
"Add Date","Dátum hozzáadása"
"Days in Wish List","Napja a kívánságlistán"
Unlock,Feloldás
"Delete Image","Kép törlése"
"View Full Size","Teljes méret"
"All countries","Összes ország"
"Add New Customer Group","Új vevői csoport hozzáadása"
"Save Customer Group","Vevői csoport mentése"
"Delete Customer Group","Vevőcsoport törlése"
"New Customer Group","Új vevői csoport"
"Edit Customer Group ""%1""","""%1"" vevőcsoport szerkesztése"
"Group Information","Csoport információ"
"Group Name","Csoport neve"
"Maximum length must be less then %1 characters.","A Maximális hossz legfeljebb %1 karakter lehet."
"Tax Class","Adó osztály"
"The customer is now assigned to Customer Group %s.","%s vásárlói csoporthoz a vásárló hozzá lett rendelve."
"Would you like to change the Customer Group for this order?","Megváltoztatja a vásárlói csoportot ennél a rendelésnél?"
"The VAT ID is valid.","Az adószám érvényes."
"The VAT ID entered (%s) is not a valid VAT ID.","A megadott adószám (%s) nem érvényes."
"The VAT ID is valid. The current Customer Group will be used.","Az adóazonosító érvényes. A jelenlegi vásárlói csoport lesz használva."
"The VAT ID is valid but no Customer Group is assigned for it.","Az adóazonosító érvényes, de nincs vásárlói csoport kijelölve hozzá."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Az adóazonosító alapján, a vásárló a következő vásárlói csoportba tartozik: %s."
"Something went wrong while validating the VAT ID.","Hiba történt az adóazonosító érvényesítése során."
"The customer would belong to Customer Group %s.","%s vásárlói csoportba tartozik a vásárló."
"There was an error detecting Customer Group.","Hiba a vásárlói csoportban."
"Validate VAT Number","Adószám ellenőrzése"
"Date of Birth","Születési dátum"
"Bad request.","Hibás kérés."
"This confirmation key is invalid or has expired.","Az ellenőrző kulcs érvénytelen vagy lejárt."
"There was an error confirming the account","Hiba történt a fiók érvényesítése során"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Ha regisztrált adóalany, <a href=""%1"">kattintson ide</a>, hogy megadja a szállítási címet az adó kiszámításához!"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Ha regisztrált adóalany, <a href=""%1"">kattintson ide</a>, hogy megadja a számlázási címet az adó kiszámításához!"
"Thank you for registering with %1.","A %1 elfogadta a regisztrációt. Köszönjük."
"Please check your email for confirmation key.","Kérem ellenőrizze email fiókját a megerősítő kulcsért."
"This email does not require confirmation.","Ez az email nem igényel megerősítést."
"Wrong email.","Hibás email cím."
"Your password reset link has expired.","Az új jelszó link érvényessége lejárt."
"We can't save the customer.","Nem tudjuk menteni a vevőt."
"Please make sure your passwords match.","Ellenőrizze, hogy a jelszavak megegyeznek-e!"
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Ha regisztrált adóalany, <a href=""%1"">kattintson ide</a>, hogy megadja a szállítási címet az adó kiszámításához!"
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Ha regisztrált adóalany, <a href=""%1"">kattintson ide</a>, hogy megadja a számlázási címet az adó kiszámításához!"
"You saved the account information.","A fiók információk elmentve."
"Password confirmation doesn't match entered password.","A jelszó megerősítésének és a jelszónak meg kell egyeznie!"
"We're unable to send the password reset email.","Nem tudunk jelszó módosító levelet küldeni."
"Please enter your email.","Adja meg az email címét."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Ha a megadott email címhez (%1) tartozik felhasználó, akkor kapni fog egy emailt, amellyel visszaállíthatja a jelszavát."
"An unspecified error occurred. Please contact us for assistance.","Ismeretlen hiba történt. Segítségért kérjük, lépjen kapcsolatba velünk."
"A login and a password are required.","Azonosító és jelszó megadása szükséges."
"New Password and Confirm New Password values didn't match.","Az új jelszó és a jelszó megerősítése nem egyezik."
"Please enter a new password.","Adjon meg egy új jelszót."
"You updated your password.","Frissítette a jelszót."
"Something went wrong while saving the new password.","Hiba történt az új jelszó mentésekor."
"You deleted the address.","Törölte a címet."
"We can't delete the address right now.","Jelenleg nem tudjuk törölni a címet."
"You saved the address.","Mentette a címet."
"We can't save the address.","Nem tudjuk menteni a címet."
"You have revoked the customer's tokens.","Visszavonta a vevő tokenjeit."
"We can't find a customer to revoke.","Nem találtuk a vevőt a visszavonáshoz."
"Something went wrong while saving file.","Nem sikerült a fájl mentése."
"You deleted the customer group.","Vevőcsoport törölve."
"The customer group no longer exists.","A vevőcsoport már nem létezik."
"New Group","Új csoport"
"New Customer Groups","Új vevői csoport"
"Edit Group","Csoport szerkesztése"
"Edit Customer Groups","Vevői csoportok szerkesztése"
"You saved the customer group.","Vevői csoport elmentve."
"Please select customer(s).","Kérjük, válassza ki a vevőket."
"Customer could not be deleted.","Vevő nem törölhető."
"You deleted the customer.","Vevő törölve."
"Something went wrong while editing the customer.","Hiba történt a vásárló szerkesztése közben."
"Manage Customers","Vevők kezelése"
"The customer will receive an email with a link to reset password.","A jelszó megváltoztatásához a vevő kapni fog egy emailt egy linkkel."
"Something went wrong while resetting customer password.","Hiba történt a vevő jelszavának visszaállításakor."
"You saved the customer.","Vásárló elmentve."
"Something went wrong while saving the customer.","Hiba történt a vásárló mentése közben."
"Customer has been unlocked successfully.","Vevő sikeresen feloldva."
"Online Customers","Online vásárlók"
"Customers Now Online","Jelenleg bejelentkezett vevők"
"Please define Wish List item ID.","Adja meg a kívánságlista elemének azonosítóját."
"Please load Wish List item.","Kérjük, töltse be a kívánságlista elemet."
"Login successful.","Sikeres bejelentkezés."
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 nem a \Magento\Customer\CustomerData\SectionSourceInterface kiterjesztése"
"The account is locked.","A fiók zárolva."
"Please enter a password with at most %1 characters.","Adjon meg egy jelszót, a legtöbb %1 karakterekkel."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","A jelszóban szereplő karakter típusok száma minimum %1. Karakter osztályok: kisbetű, nagybetű, szám, speciális karakter."
"This customer already exists in this store.","Ez a vevő már létezik ebben a boltban."
"""%1"" is a required value.","""%1"" egy szükséges érték."
"Per Website",Weboldalanként
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","Nem tudjuk megosztani vevő azonosítókat globálisan ha az e-mail címek megegyeznek több weblapon."
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Nincs ilyen entitás %fieldName = %fieldValue, %field2Name = %field2Value"
"Unable to create directory %1.","A(z) %1 könyvtár nem hozható létre."
"Destination folder is not writable or does not exists.","A célmappa nem írható vagy nem létezik."
"Something went wrong while saving the file.","Nem sikerült a fájl mentése."
"Reset password token expired.","Jelszó törlő token-érték lejárt."
"Attribute object is undefined","Jellemző objektum nincs definiálva"
"""%1"" invalid type entered.","A megadott ""%1"" típus érvénytelen."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" nem alfabetikus vagy nem numerikus karaktereket tartalmaz."
"""%1"" is an empty string.","""%1"" egy üres karakterlánc."
"""%1"" contains non-numeric characters.","""%1"" nem numerikus karaktereket tartalmaz."
"""%1"" contains non-alphabetic characters.","""%1"" a nem alfabetikus karaktereket tartalmaz."
"""%1"" is not a valid email address.","""%1"" nem egy érvényes email cím."
"""%1"" is not a valid hostname.","""%1"" nem érvényes host név."
"""%1"" uses too many characters.","""%1"" túl sok karaktert használ."
"'%value%' looks like an IP address, which is not an acceptable format.","""%value%"" úgy néz ki, mint egy IP-cím, amely nem egy elfogadható formátum."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","""%value%"" úgy néz ki mint egy DNS-állomásnév, de tartalmaz egy kötőjelet érvénytelen helyzetben."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","""%value%"" úgy néz ki, mint egy DNS-állomásnév, de nem egyezik meg a ""%tld%"" TLD hostnév sémával."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","""%value%"" úgy néz ki mint egy DNS-állomásnév, de nem nyerhető ki a TLD rész."
"'%value%' does not look like a valid local network name.","""%value%"" nem úgy néz ki mint egy érvényes helyi hálózati név."
"'%value%' looks like a local network name, which is not an acceptable format.","""%value%"" úgy néz ki, mint egy helyi hálózati név, de a formátuma nem elfogadható."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' úgy jelenik meg mint egy DNS host-név, de a megadott punnycode jelölést nem lehet kikódolni."
"""%1"" is not a valid URL.","""%1"" nem egy érvényes URL."
"""%1"" is not a valid date.","""%1"" nem egy érvényes dátum."
"""%1"" does not fit the entered date format.","""%1"" nem a megadott dátum formátumban van."
"Please enter a valid date between %1 and %2 at %3.","Adjon meg egy dátumot %1 és %2 között a %3-nál (-nél)."
"Please enter a valid date equal to or greater than %1 at %2.","Adjon meg egy dátumot, ami nagyobb vagy egyenlő, mint %1 a %2-nál (-nél)."
"Please enter a valid date less than or equal to %1 at %2.","Adjon meg egy dátumot, ami kisebb mint %1 a %2-nál (-nél)."
"""%1"" is not a valid file extension.","""%1"" nem egy érvényes fájlkiterjesztés."
"""%1"" is not a valid file.","""%1"" nem egy érvényes fájl."
"""%1"" exceeds the allowed file size.","""%1"" meghaladja a megengedett fájlméretet."
"""%1"" is not a valid image format.","""%1"" nem egy érvényes képformátum."
"""%1"" width exceeds allowed value of %2 px.","""%1"" szélessége meghaladja az engedélyezett méretet (%2 px)."
"""%1"" height exceeds allowed value of %2 px.","""%1"" magassága meghaladja az engedélyezett méretet (%2 px)."
"""%1"" length must be equal or greater than %2 characters.","""%1"" hossza egyenlő vagy több mint %2 karakter kell legyen."
"""%1"" length must be equal or less than %2 characters.","""%1"" hossza egyenlő vagy kevesebb mint %2 karakter kell legyen."
"You can't delete group ""%1"".","Nem törölheti a ""%1"" csoportot."
"Customer Group already exists.","A vevőcsoport már létezik."
"Cannot delete group.","A csoport nem törölhető."
"Error during VAT Number verification.","Hiba történt az adószám ellenőrzésekor."
"PHP SOAP extension is required.","PHP SOAP kiterjesztés szükséges."
"VAT Number is valid.","Érvényes adószám."
"Please enter a valid VAT number.","Adjon meg egy érvényes adószámot."
"Your VAT ID was successfully validated.","Az adószám sikeresen ellenőrizve."
"You will be charged tax.","Önnek az ÁFA-val növelt árat kell fizetnie."
"You will not be charged tax.","Önnek nem kell ÁFA-t fizetnie."
"The VAT ID entered (%1) is not a valid VAT ID.","A megadott adószám (%1) nem érvényes."
"Your Tax ID cannot be validated.","Az adószámot nem lehet ellenőrizni."
"If you believe this is an error, please contact us at %1","Ha úgy gondolja ez egy hiba, kérem vegye fel velük a kapcsolatot itt: %1"
Male,Férfi
Female,Nő
"Not Specified","Nincs megadva"
NoSuchEntityException,Nincs-Ilyen-entitás-hiba
"NOT LOGGED IN","NINCS BEJELENTKEZVE"
"Please enter the state/province.","Kérjük, adja meg a megyét vagy államot."
"region is a required field.","a megye kötelező mező."
Label,Címke
Visitor,Látogató
"Personal Information","Személyes adatok"
"Last Logged In:","Utolsó bejelentkezés:"
"Last Logged In (%1):","Utolsó bejelentkezés (%1):"
"Account Lock:","Fiók zárolva:"
"Confirmed email:","Visszaigazolt email:"
"Account Created:","Fiók létrehozva:"
"Account Created on (%1):","A fiók itt lett létrehozva (%1):"
"Account Created in:","Fiók létrehozva itt:"
"Customer Group:",Vevőcsoport:
"Default Billing Address","Alapértelmezett számlázási cím"
"Sales Statistics","Értékesítési statisztika"
"Average Sale","Eladások átlaga"
"Manage Addresses","Címek kezelése"
"Default Shipping Address","Alapértelmezett szállítási cím"
"Contact Information","Elérhetőségi adatok"
"Change Password",Jelszócsere
Newsletters,Hírlevelek
"Default Addresses","Alapértelmezett cím"
"Change Billing Address","Számlázási cím módosítása"
"You have no default billing address in your address book.","Nincs alapértelmezett számlázási cím a címjegyzékben."
"Change Shipping Address","Szállítási cím módosítása"
"You have no default shipping address in your address book.","Nincs alapértelmezett szállítási cím a címjegyzékben."
"Street Address %1","Utca, házszám %1"
"It's a default billing address.","Ez az alapértelmezett számlázási cím."
"Use as my default billing address","Ez legyen az alapértelmezett számlázási címem"
"It's a default shipping address.","Ez az alapértelmezett szállítási cím."
"Use as my default shipping address","Alapértelmezett szállítási cím használata"
"Go back",Vissza
"Additional Address Entries","További cím bejegyzések"
"Please enter your email below and we will send you the confirmation link.","Kérjük adja meg az email címét, és elküldjük Önnek a visszaigazoló linket."
"Send confirmation link","Megerősítő link küldése"
"Back to Sign In","Vissza a bejelentkezéshez"
"Change Email","E-mail cím megváltoztatása"
"Change Email and Password","E-mail cím és jelszó megváltoztatása"
"Current Password","Jelenlegi jelszó"
"Password Strength","Jelszó erőssége"
"No Password","Nincs jelszó"
"Confirm New Password","Új jelszó megerősítése"
"Please enter your email address below to receive a password reset link.","Kérjük adja meg az email címét, és elküldjük Önnek a jelszó visszaállító linket."
"Reset My Password","Jelszavam visszaállítása"
"Registered Customers","Regisztrált vásárlók"
"If you have an account, sign in with your email address.","Ha már van felhasználói fiókja, jelentkezzen be email címével."
"Subscription option","Feliratkozási lehetőségek"
"General Subscription","Általános feliratkozás"
"Sign Up for Newsletter","Iratkozzon fel hírlevelünkre"
"Address Information",Címadatok
"Sign-in Information","Bejelentkezési adatok"
"Confirm Password","Jelszó megerősítése"
"Set a New Password","Állítson be egy új jelszót"
"You have signed out and will go to our homepage in 5 seconds.","Ön kijelentkezett. 5 másodperc múlva átirányítjuk honlapunkra."
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","A fiók nem megerősített. Az email újraküldéséhez <a href=""%1"">kattintson ide</a>."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Már van egy felhasználói fiók ezzel az email címmel. Ha biztos benne, hogy ez az Ön email címe, <a href=""%1"">kattintson ide</a> Hogy megkapja a jelszavát, és hozzáférjen fiókjához."
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Új fiók létrehozásának számos előnye van: gyorsabb vásárlás, akár több cím mentése, megrendeléseit nyomon követheti, stb."
Fax,Faxszám
"Welcome to %store_name","Üdvözlet a %store_name webáruházban"
"%name,",%név
"Welcome to %store_name.","Üdvözlet a %store_name webáruházban."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","A bejelentkezéshez használja ezeket az adatokat fizetés közben vagy a <a href=""%customer_url"">Saját fiók</a> oldalon:"
Email:,E-mail:
Password:,Jelszó:
"Password you set when creating account","Jelszó beállítva a felhasználói fiók létrehozásakor"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Elfelejtette a jelszavát? <a href=""%reset_url"">Kattintson ide</a> a visszaállításhoz."
"Proceed through checkout faster","Gyorsabb vásárlásra"
"Check the status of orders","Rendelések állapotának ellenőrzésére"
"View past orders","Korábbi rendelések megtekintésére"
"Store alternative addresses (for shipping to multiple family members and friends)","További címek tárolására (szállítás családtagoknak, vagy barátoknak)"
"Please confirm your %store_name account","Kérjük, erősítse meg a %store_name fiókját"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Meg kell erősítenie regisztrációját a %customer_email e-mailben, mielőtt bejelentkezik. (az aktiváló link csak egyszer érvényes):"
"Confirm Your Account","Fiók megerősítése"
"Thank you for confirming your %store_name account.","Köszönjük, hogy megerősítette a %store_name fiókját."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Ahhoz, hogy bejelentkezzen weboldalunkra és beállíthasson egy jelszót, kattintson <a href=""%create_password_url"">erre a linkre</a>:"
"Your %store_name email has been changed","A %store_name email megváltoztatva"
"We have received a request to change the following information associated with your account at %store_name: email.","Kérvény érkezett hozzánk az Ön következő fiókadatainak megváltoztatására: %store_name: email."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Ha ezt a műveletet nem Ön engedélyezte, kérjük lépjen kapcsolatba velünk azonnal <a href=""mailto:%store_email"">%store_email</a> e-mail címen."
"Your %store_name email and password has been changed","A %store_name email és jelszó megváltoztatva"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Kérvény érkezett hozzánk az Ön következő fiókadatainak megváltoztatására: %store_name: email, jelszó."
"Reset your %store_name password","Az Ön %store_name jelszavának visszaállítása"
"There was recently a request to change the password for your account.","Nemrég kérelmezték a fiók jelszavának megváltoztatását."
"If you requested this change, set a new password here:","Ha Ön kérte ezt a változtatást, adja meg az új jelszavát itt:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Ha nem Ön kérvényezte a változtatást, nyugodtan figyelmen kívül hagyhatja ezt az e-mailt, a jelszó változatlan marad."
"Your %store_name password has been changed","Az Ön %store_name jelszava megváltozott"
"We have received a request to change the following information associated with your account at %store_name: password.","Kérvény érkezett hozzánk az Ön következő fiókadatainak megváltoztatására: %store_name: password."
"Checkout as a new customer","Fizetés mint új vásárló"
"Creating an account has many benefits:","A fiók létrehozásának rengeteg előnye van:"
"See order and shipping status","A rendelési és szállítási állapot megtekintése"
"Track order history","Rendelés történet nyomonkövetése"
"Check out faster","Gyorsabb fizetés"
"Checkout using your account","Fizetés az Ön fiókjának használatával"
"Are you sure you want to delete this address?","Biztos, hogy törli ezt a címet?"
Weak,Gyenge
Medium,Közepes
Strong,Erős
"Very Strong","Nagyon erős"
"All Customers","Összes vásárló"
"Now Online","Most online"
"Customers Section","Ügyfél szakasz"
"Customer Configuration","Vevő beállítás"
"Account Sharing Options","Fiók megosztási lehetőségek"
"Share Customer Accounts","Ügyfél fiók megosztás"
"Create New Account Options","Új fiók létrehozásának lehetóségei"
"Enable Automatic Assignment to Customer Group","Vevőcsoport automatikus hozzárendelésének engedélyezése"
"Tax Calculation Based On","Adó kiszámítása"
"Default Group","Alapértelmezett csoport"
"Group for Valid VAT ID - Domestic","Érvényes adószám csoportja - Belföldi"
"Group for Valid VAT ID - Intra-Union","Érvényes adószám csoport - Unión belüli"
"Group for Invalid VAT ID","Érvénytelen adószám csoport"
"Validation Error Group","Adószám ellenőrzési hiba csoport"
"Validate on Each Transaction","Ellenőrzés minden tranzakciónál"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Az adószám alapján történő vevőcsoport váltás alapértelmezett értéke"
